CustomerID,RetentionPotential
C41033,Low
C16081,Low
C35431,Low
C27215,Low
C14202,High
C34010,Low
C14999,Low
C30711,Low
C19437,Low
C27649,Low
C39239,Low
C27211,Low
C27737,Low
C14160,Low
C37337,Low
C24682,Low
C17418,Low
C17919,Low
C33933,Low
C25662,Low
C23033,High
C40306,Low
C29322,Medium
C24278,Low
C14381,Low
C33334,Low
C41089,Low
C41441,Low
C28850,Low
C26833,Low
C20551,Low
C39946,Low
C13654,Low
C21319,Low
C17912,Low
C12961,Low
C36263,Low
C35624,Low
C18834,High
C38266,Low
C22936,Low
C25446,Low
C40762,Low
C17655,High
C13376,Low
C15725,Low
C28515,Low
C22046,Low
C28297,Low
C19954,High
C17142,Low
C19180,Low
C22582,High
C36320,Low
C31475,Medium
C23743,Low
C15529,High
C38551,Low
C33997,Low
C12765,Low
C14901,Low
C13903,Low
C39642,Low
C35616,Low
C24427,Low
C37079,Low
C17528,Low
C37387,Low
C15536,Low
C20474,Low
C21921,Low
C30834,Low
C23681,Low
C21595,Medium
C29534,Low
C35563,Low
C38729,Low
C30936,High
C26480,Low
C37810,Low
C12629,High
C39799,Low
C35221,Low
C16054,High
C31788,Low
C13757,Low
C16690,Low
C27073,Low
C41526,Low
C26671,Low
C41252,Low
C17978,High
C32653,Low
C23407,Low
C41199,High
C18144,Low
C36518,Low
C33243,High
C39292,Low
C29427,Low
C19007,Low
C32414,Low
C20728,Low
C14989,Low
C26513,High
C24491,Low
C41299,High
C36252,High
C32809,High
C31906,Medium
C25409,High
C15025,Low
C21971,High
C26416,Low
C18869,Low
C24063,Low
C22873,Low
C38780,Low
C19323,Low
C25380,Low
C17373,Low
C23652,Low
C21833,Low
C39311,Low
C20028,Low
C20403,Low
C12387,High
C34059,Low
C31960,Low
C16596,High
C24125,Low
C37022,High
C38659,Medium
C32920,Low
C29883,High
C29649,Low
C35170,Low
C34236,Low
C23943,Low
C16084,Low
C23914,Low
C14389,Low
C31876,High
C32137,Low
C16286,Low
C32021,Low
C17741,Medium
C12467,Low
C16009,Low
C13595,High
C21190,Low
C40719,Low
C13686,Low
C16919,Low
C15504,High
C28866,Low
C17004,High
C20838,Low
C37030,Low
C34652,Low
C35687,Low
C38757,Low
C37224,Low
C14859,Low
C32711,Low
C18339,Low
C24884,Low
C41444,Low
C39187,Low
C24934,Low
C19889,Medium
C18447,Low
C25202,Low
C24887,Low
C40562,Low
C20172,High
C25676,Low
C32634,Low
C15503,Low
C18783,High
C17055,High
C13859,High
C38476,Low
C16122,Low
C32106,Low
C34902,Low
C41871,Low
C19965,Low
C20986,Low
C20532,High
C15307,Low
C13942,Low
C21955,Low
C31703,Low
C12580,Low
C26349,Low
C35352,High
C39998,Low
C35401,Low
C14944,Low
C41621,Low
C28954,Low
C30081,Low
C32205,Low
C24324,High
C15961,Low
C29268,Low
C27994,High
C36775,Low
C38703,Low
C23371,Low
C23727,Low
C21529,High
C25864,High
C31411,Low
C20943,Low
C21396,Low
C16493,Low
C18789,Low
C32502,Low
C39591,Low
C12573,High
C33883,High
C17783,High
C39899,Low
C32882,Low
C24367,Low
C32543,Low
C14461,High
C20629,Low
C32886,Low
C37392,High
C25561,Low
C30600,Low
C34370,Low
C39981,Low
C33436,Low
C22137,Low
C23778,Low
C22361,Low
C13090,Medium
C40519,Low
C12344,Low
C30967,Low
C29281,Low
C35014,Low
C32845,Low
C30244,Low
C30441,Medium
C21452,Low
C19364,Low
C15182,Low
C31033,High
C26339,Low
C17067,Low
C27305,Low
C19702,High
C30670,Low
C18896,Low
C37520,Low
C32588,High
C28906,Low
C28361,Low
C41185,Low
C25558,Low
C36576,Low
C13676,Low
C33435,Low
C22420,High
C38911,High
C14445,Low
C31977,Low
C26926,High
C34781,Low
C38975,High
C26885,Low
C32935,High
C17980,Low
C37514,Low
C25246,Low
C26525,High
C12674,Low
C38604,Low
C23144,Low
C12886,Low
C37080,Low
C15364,Low
C16872,High
C39213,Low
C24073,Low
C15815,Low
C34197,High
C31651,Low
C37861,Low
C19830,Medium
C41277,Low
C18392,Medium
C40125,Low
C28411,Low
C38503,High
C34523,Low
C31771,High
C26173,Low
C20144,Low
C23742,Low
C20381,Low
C23161,Low
C35429,Low
C16368,High
C32406,Low
C35162,Low
C12174,Low
C39448,High
C21986,Low
C30606,Low
C40819,Low
C25632,Medium
C15353,Low
C24184,Low
C41262,Low
C41439,Low
C33244,Low
C27162,High
C35241,Low
C25586,Medium
C19198,Low
C18651,Low
C39678,Low
C40611,Low
C30054,High
C41933,High
C36584,Low
C13539,Low
C28231,Low
C26375,Low
C33202,Medium
C41749,Low
C22776,Low
C25424,Low
C32990,Low
C23741,Low
C33394,Low
C31537,Low
C13074,High
C25224,Low
C34539,Low
C38846,Low
C17921,Low
C37119,Low
C18973,Low
C14908,Low
C20951,Low
C26895,Low
C41006,Low
C38405,Low
C26250,Medium
C19410,Low
C31727,Low
C34673,Low
C25104,Low
C36219,Low
C39523,Low
C23905,Low
C22015,Low
C38485,High
C36677,Low
C39252,Low
C41385,Low
C27793,High
C23782,Low
C18909,High
C19797,Low
C36427,Low
C21623,Low
C22335,Low
C32887,Low
C18965,Low
C20940,Low
C32625,Low
C22711,High
C37938,Low
C16187,High
C33858,Low
C19150,Low
C17296,Low
C19894,Low
C38694,Low
C25447,Low
C17665,Low
C32471,Low
C36203,Low
C31838,Medium
C30864,High
C34508,High
C26040,Low
C19155,Low
C40083,Low
C22759,Low
C23353,Low
C29805,Low
C33603,Low
C13210,Low
C38923,High
C29632,Low
C36849,Low
C30414,Low
C37001,Low
C27826,Low
C36821,Low
C24232,High
C21573,Low
C41631,Low
C41852,Low
C16248,Low
C27685,High
C33905,Low
C36211,Low
C37719,Low
C37572,High
C26082,Low
C18564,Low
C17810,Low
C21289,Low
C20395,Low
C23041,Medium
C33891,Low
C14791,Low
C12873,Low
C13515,Low
C13941,Low
C37821,Low
C24018,Low
C15389,Low
C14847,Low
C16438,Low
C28179,Low
C29681,Low
C32190,High
C24646,Low
C32439,Medium
C18497,Low
C12303,High
C37174,Low
C28209,Low
C25612,Low
C42067,Low
C41140,Low
C17454,High
C24455,Low
C18606,Low
C34880,High
C29755,Low
C41995,Low
C33594,Low
C24675,High
C23413,Low
C36790,Low
C22089,Low
C13650,Low
C14581,Low
C37326,Low
C38749,Low
C15770,High
C34641,Low
C38577,Low
C35636,Medium
C38427,Low
C38125,Low
C34031,Low
C39786,Low
C25367,High
C14601,Low
C18124,Low
C18983,Medium
C12201,Low
C17696,Low
C26792,High
C30120,Low
C26442,High
C18549,High
C12978,Low
C34224,High
C15229,Low
C17201,Low
C17601,High
C38326,Low
C37305,High
C41539,Low
C13638,Low
C25407,Low
C27040,Low
C20464,High
C18780,Low
C36573,Low
C32986,Low
C27235,Low
C21960,Low
C26544,High
C33216,Low
C25074,Low
C21855,Low
C36385,Medium
C36934,Low
C40147,High
C38379,Low
C12229,Low
C29987,Low
C34131,Low
C28884,Low
C40416,Low
C21692,Low
C21651,Low
C12160,Low
C22867,Low
C25637,Low
C29100,High
C28891,Low
C18686,Low
C22740,Low
C32946,Low
C38053,Low
C22646,Low
C26008,Low
C25371,Low
C21630,Low
C21541,High
C32977,Low
C18229,Low
C27428,High
C31544,Low
C18094,Low
C36792,Low
C38795,Low
C16893,Low
C24975,Low
C41030,Low
C16920,Low
C33278,Low
C41242,High
C40067,Low
C14557,Low
C25753,Low
C28322,Low
C26385,High
C39048,Low
C34035,Low
C16080,High
C20248,Low
C38711,Low
C16217,Low
C36859,Low
C27186,Low
C32503,Low
C34651,Low
C34264,Low
C21059,Low
C42134,Low
C20062,High
C33427,Low
C26244,Low
C26933,Low
C12685,Low
C20569,Low
C19873,Low
C26241,Low
C21417,Low
C14969,Low
C25249,Low
C16324,Low
C26388,Low
C16604,High
C23956,Low
C37072,Low
C22683,High
C18240,Low
C29837,High
C37844,Low
C29650,Low
C24546,Low
C27426,Low
C37957,High
C41934,Low
C38849,Low
C24599,Low
C14341,Low
C39648,High
C23243,Low
C28843,Low
C12989,Low
C24181,Low
C28871,Low
C25178,Low
C15380,Medium
C34848,High
C13173,Low
C35828,Low
C12805,Low
C33138,Low
C34923,Low
C18195,Low
C37812,Low
C12583,Low
C27130,Low
C27509,Low
C25342,Low
C33153,High
C18866,High
C37607,High
C30868,Low
C17366,Low
C20033,Low
C31129,Low
C31039,Low
C12793,Low
C32373,Low
C41265,High
C28966,Low
C23212,Low
C25738,Low
C12131,Low
C12489,Low
C41678,High
C40148,Low
C14780,Low
C12689,High
C29862,Low
C22644,Low
C14027,Low
C12719,Low
C17555,Low
C41184,Low
C28726,Low
C18889,Low
C34817,Low
C13599,Low
C26880,Low
C14208,Low
C38094,Low
C29296,Low
C36773,Low
C41313,Low
C25495,High
C21198,Low
C38617,Low
C15481,Low
C13879,Low
C12235,Low
C38028,High
C37874,High
C20285,Low
C26726,Low
C40624,High
C16270,Low
C35125,Low
C25137,High
C31600,High
C29474,Low
C14563,High
C30769,Low
C38740,Low
C28115,Low
C31904,Low
C36168,Medium
C31290,Low
C26590,Medium
C37522,High
C20153,High
C33812,High
C22379,Low
C28150,Low
C38081,Low
C23316,Low
C18796,Low
C40385,Low
C20365,High
C17324,Low
C14151,Low
C27837,Low
C20175,Low
C23499,Low
C38985,Low
C41454,Low
C21990,Low
C28900,Low
C20622,Low
C36178,Low
C42177,Low
C21784,Low
C12406,Low
C36389,Low
C29600,Low
C27378,Low
C38548,Low
C13288,Medium
C13960,Low
C26666,Low
C13399,Low
C12998,Low
C37368,Low
C32575,Low
C21374,High
C37436,Low
C20771,Low
C17309,Low
C12662,Low
C36092,Low
C17082,Low
C20231,Low
C39703,Low
C36003,Low
C34339,High
C20659,Medium
C39032,Low
C23096,Low
C31584,Low
C41849,Low
C38593,Low
C38281,Low
C29257,Low
C31376,Low
C26835,Low
C27746,Low
C22686,Low
C12807,Low
C41260,Low
C25231,Low
C34693,Low
C24377,High
C37193,Low
C24528,Low
C30234,Low
C22512,Low
C30008,Low
C16414,Low
C13982,Low
C30718,Medium
C26127,High
C39518,Low
C18677,Medium
C25280,Low
C20309,Low
C33789,Low
C19639,Low
C29176,Low
C39258,Medium
C16935,Low
C26699,Low
C24529,Low
C34949,Low
C17938,High
C26753,Low
C25608,Low
C40172,Low
C18894,High
C39363,Low
C14587,Low
C35670,Low
C39637,Low
C37737,Low
C18709,High
C30467,Low
C30522,Low
C42105,Low
C30104,Low
C20645,Low
C29507,Low
C35704,Low
C12433,Low
C23426,Low
C20269,Low
C14705,High
C33497,High
C26301,Low
C25556,Low
C25037,Low
C13993,Low
C28295,Low
C22376,Low
C39423,Low
C14167,Low
C39912,Low
C31001,Low
C41486,Low
C38897,Low
C31421,Low
C31918,Low
C32257,Low
C20931,Low
C17885,Low
C32506,Low
C14716,High
C13180,Low
C29618,Low
C35671,Low
C20643,Low
C19065,Low
C37038,Low
C26440,Low
C18281,Low
C40845,Low
C26530,Low
C40674,Low
C40384,Low
C24223,Low
C22715,High
C38705,Low
C32976,Low
C27898,Low
C19129,Low
C40004,Low
C32198,Low
C28938,Low
C28110,Low
C25256,Low
C25009,Low
C41632,Low
C26439,High
C21424,Low
C24829,Low
C35577,Low
C15699,Low
C27204,Medium
C12834,Low
C37985,Low
C31101,Low
C13347,Low
C29587,Low
C26471,Low
C15748,Low
C22438,Low
C15271,Low
C18613,High
C36001,Low
C13693,Low
C28958,Low
C17156,Low
C39464,Low
C28175,Medium
C25839,Low
C12993,Low
C34982,Low
C28886,Low
C39017,Low
C31302,Low
C24150,Low
C19440,High
C38929,High
C33400,Low
C19267,Low
C20860,Medium
C40695,Low
C16273,High
C39434,Low
C18701,Low
C17571,Low
C26961,Low
C25806,Low
C18304,Low
C31261,Low
C13766,Low
C20354,Low
C19891,Low
C31098,Low
C25958,Medium
C29157,Low
C28598,Low
C35174,Low
C21058,Low
C13634,Low
C17765,High
C25787,Low
C21765,Low
C27598,Low
C34368,Low
C24622,Low
C22774,High
C26942,Low
C32334,High
C13584,High
C38744,Low
C17451,Low
C39533,Low
C18289,Low
C27965,Medium
C15777,Low
C15540,Low
C26595,Low
C41203,Low
C27904,Low
C18510,Low
C23704,Low
C18542,Low
C33026,Low
C24804,Low
C34551,High
C23703,High
C24421,High
C37989,Low
C14144,Low
C15819,Low
C18749,Low
C40669,Low
C12480,Low
C38707,Low
C17325,Low
C35320,Low
C27887,Low
C37328,Low
C22390,Low
C27909,Low
C40315,Low
C38463,High
C18743,Low
C26325,High
C26935,Low
C26652,Low
C16600,High
C24579,Low
C39524,Low
C31763,High
C40242,Low
C36345,Low
C37352,Low
C17553,Medium
C37435,High
C30175,Low
C13325,Low
C39154,Low
C20478,High
C18578,Low
C24702,Low
C17024,Low
C23375,High
C21346,Low
C14046,Low
C35963,Low
C37051,High
C40132,Low
C40659,Low
C16422,High
C17244,Low
C28824,High
C30118,Medium
C20258,Low
C41031,Low
C17752,Low
C37753,High
C24310,Low
C19660,Low
C27207,Low
C38819,Low
C30305,Low
C40673,Low
C21919,Low
C32908,Low
C39412,Low
C19887,Low
C14797,High
C38785,Low
C29374,Low
C28489,Low
C37476,Low
C18595,Low
C29932,Low
C36713,Low
C28111,Low
C22321,Low
C21049,Medium
C39618,High
C15826,Low
C27868,Low
C34043,Low
C14721,Low
C13570,High
C23660,Low
C12525,Low
C33304,Low
C23508,Low
C12864,Low
C17754,Low
C21271,High
C36439,High
C15239,Low
C24057,High
C18764,Low
C28760,Low
C18298,Low
C33941,High
C23095,Low
C26862,Low
C19289,Low
C38069,Low
C25678,Low
C29012,Low
C26437,Low
C14860,Low
C26769,Low
C18189,Low
C17061,Low
C32482,Low
C16819,Low
C26192,Low
C13929,Low
C19649,Low
C22474,Low
C33868,Low
C33081,Low
C28310,High
C41104,Medium
C21410,Low
C30602,Low
C31050,Low
C22244,Low
C12642,Low
C33611,Low
C15316,High
C39040,Low
C27692,Low
C35758,Low
C23152,Low
C32061,Low
C16366,High
C17127,High
C17143,High
C24341,Low
C34547,Low
C36275,Low
C13440,High
C14126,Low
C39898,Low
C18335,Low
C32086,Low
C32267,Low
C22565,Low
C12440,Low
C32149,High
C31060,Low
C27917,Low
C38720,High
C40364,Low
C36532,Low
C39024,Low
C27950,Low
C41755,Low
C12847,Low
C38056,Low
C17280,High
C29248,Low
C30816,Low
C30151,Low
C25598,Low
C20851,Low
C41612,High
C17600,High
C20681,High
C34317,Low
C34893,Low
C36379,Low
C25253,Low
C26313,Low
C13519,High
C18091,Low
C40892,Low
C14102,High
C17930,Low
C30784,High
C13339,Low
C19826,Low
C24163,High
C35927,Low
C23539,Low
C24136,Low
C26806,Low
C35890,Low
C17929,Medium
C38015,Low
C34255,Low
C35916,Low
C12301,Low
C15478,Medium
C35678,Low
C31831,High
C28990,Low
C21891,Low
C34787,Low
C37385,Low
C26547,Low
C30119,Low
C12795,Low
C37568,Low
C38541,Low
C12690,Low
C15506,Low
C18469,Low
C16337,Low
C41837,Low
C33936,Low
C13211,Low
C19453,Low
C38251,High
C16262,High
C37353,Low
C39221,High
C30296,High
C22061,Low
C31495,Low
C23601,Medium
C29013,Low
C29342,Low
C41894,Low
C26939,Low
C20008,Low
C35889,Low
C34402,Low
C17854,Low
C35515,High
C12970,High
C21220,Low
C39568,Low
C15206,Low
C14294,Low
C27020,Low
C35484,Low
C27087,Low
C34481,Low
C36683,High
C16529,Low
C41726,Low
C40576,High
C25198,Low
C15591,Medium
C29635,Low
C35324,High
C13594,Medium
C22209,High
C41672,Low
C27775,Low
C32182,Low
C28673,Low
C41768,Low
C14876,Medium
C24357,Low
C34170,Low
C16024,Low
C12322,Low
C21835,Medium
C34431,Low
C27595,Low
C23669,Low
C33269,Low
C26400,High
C14884,High
C31438,Low
C16921,Low
C26394,Low
C35587,Low
C39108,Low
C32077,Medium
C26927,Low
C26793,Low
C25373,High
C18806,Low
C23365,Low
C18854,Low
C35620,Low
C34672,Low
C23163,High
C21616,Low
C31730,Low
C34714,Low
C18923,High
C15891,Low
C41953,High
C39431,Low
C27961,Low
C31588,Low
C14355,Low
C36959,Low
C15638,Low
C19354,Low
C37529,Low
C23364,Low
C31921,High
C24409,Low
C25746,Low
C30350,Medium
C27812,Low
C22462,Low
C15611,High
C39600,Low
C27288,Low
C35022,Low
C33884,Low
C15868,Low
C25609,High
C15908,Low
C16450,Low
C25165,Low
C32273,High
C22959,Low
C23877,Low
C20962,Low
C19101,Low
C14697,Low
C35147,Low
C13121,Low
C35719,Low
C21724,Low
C33760,Low
C23862,High
C18305,Low
C39037,Low
C28466,High
C19513,Low
C21329,Low
C18236,Low
C27065,Low
C31200,Low
C12688,High
C40510,Low
C19093,Low
C31343,Low
C32045,Low
C14818,Low
C38083,Low
C24516,Medium
C22537,High
C33621,High
C20984,High
C35222,Low
C40750,Low
C14946,Low
C42156,Low
C27518,Low
C31776,Low
C14301,Low
C13684,High
C24548,Low
C15794,Low
C23097,High
C20212,Medium
C19445,Low
C33822,Low
C35568,Low
C40588,Low
C31562,Low
C32376,Low
C40593,Low
C35239,Low
C12320,High
C35543,Low
C34310,Low
C20712,Low
C27622,Low
C30778,Low
C23055,Low
C29527,High
C34661,High
C16837,Low
C15790,Low
C27958,Low
C18737,Low
C22863,Low
C36785,Low
C28023,Low
C27855,High
C12981,Low
C22623,Low
C31391,Low
C25251,Low
C23043,Low
C37708,Low
C27315,Low
C29874,Low
C40076,Low
C39677,Low
C40774,Low
C21450,Medium
C41082,High
C14172,Low
C18012,Low
C28197,Low
C22741,Low
C25789,Low
C28533,Low
C33255,Low
C24100,Low
C18382,Low
C22693,Low
C22386,Low
C35079,Low
C16378,Low
C21356,Low
C18062,Low
C30481,Low
C22593,Low
C38018,Low
C40554,Low
C22578,Low
C12473,High
C28907,High
C33729,Low
C20318,High
C17519,Low
C18893,Low
C34663,Low
C37879,Low
C30094,Low
C35632,Low
C18527,Low
C27814,Low
C40104,Low
C21878,Low
C20903,High
C38920,Low
